Dielectric Const (Typical),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,CuO,ZnO,SrO,PbO,Fe2O3,La2O3,Bi2O3,TiO2,GeO2,ZrO2,CeO2,TeO2,P2O5,V2O5,Nb2O5,WO3
7.35,70.6,0,0,14.7,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.63,61.8,0,0,21.5,0,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,62.9,0,0,19.6,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.91,73.3,0,0,7.2,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.26,73,0,0,4.9,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.15,57.3,0,0,20.5,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.43,57.4,0,0,20.3,0,0,0,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.52,56.8,0,0,20.8,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.92,60.2,0,0,14.7,0,0,0,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,41,0,0,33.5,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.45,64,0,0,20,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.36,65.2,0,0,17.4,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.95,57.1,0,0,25,0,0,0,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,66.7,0,0,13.3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.75,60,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,70,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.3,70,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.82,70.2,0,0,0,15,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.25,70.4,0,0,0,10,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.77,70.6,0,0,0,5,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.85,72.4,0,0,0,10,0,0,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.85,78.1,0,0,0,10,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.88,74.26,0,0,0,0,19.8,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.29,70.1,0,0,0,0,18.7,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.56,75,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.22,70,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.08,64,0,0,0,0,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.05,61.46,0,0,0,0,22.14,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.18,65.2,0,0,0,0,17.4,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.43,70.1,0,0,0,0,11.2,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.82,74.26,0,0,0,0,5.94,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.4,60,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.6,61.46,0,0,0,0,16.4,0,22.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.28,70,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
