Expansion Coeff (Typical) ( 10-7/K ),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Rb2O,Ag2O,Cs2O,Tl2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,Ga2O3,As2O3,Y2O3,In2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,TeO2,P2O5,V2O5,Nb2O5,Ta2O5,MoO3,WO3
66,0,56.25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,52.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,33.21,23.24,17.46,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.24,0,0,7.43,0,0,0,1.57,0,0,0,0,0,0,0,0
85.4,55,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78.6,56.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.03,0,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82.1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105.7,74.76,0.88,1.2,0,5.99,0.4,0,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,75.23,0.82,1.48,0.02,4.96,0,0,17.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0
43,74.92,13.72,1.52,0.15,0,0,2.28,4.9,0.53,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.5,80.86,12.98,1.22,0,0,0,0,4.9,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,59.77,5.34,9.11,9.22,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,69.76,0.96,1.19,4.83,6.61,0,0,15.78,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,75.68,0,0.94,0,0,0,0,6.31,6.69,0,0,0,0,0,0,0,0,0,0,0,0,10.19,0,0,0.03,0,0.08,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,75.77,0,0.84,0,0,0.05,0,8.94,4.73,0,0,0,0,0,0,0,0,0,0,0.23,0,9.34,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,83.17,11.58,1.34,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,79.92,13.85,1.35,0,0,0,0.42,3.84,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,70.53,0.39,1,0,5.11,0.89,0,18.24,0.14,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,0,0.02,0,0.17,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,80.6,13.36,1.12,0,0,0,0,4.85,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,80.91,12.98,0.89,0,0,0,0,4.53,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,62.86,0,0,0,0,3.62,0,2.69,1.77,0,0,0,0,0,0,0,0,0,0,0,0,27.38,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,71.81,0,1.39,0,0,3.55,0,8.9,5.86,0,0,0,0,0,0,0,0,0,0.44,6.69,0,0,0,0,0.02,0,0,0,0,0.08,0,0,0,0.45,0,0,0.69,0.12,0,0,0,0,0,0,0,0
98,71.89,0,1.33,1.68,2.41,0.88,0,7.63,6.46,0,0,0,0,0,0,0,0,0,0,6.52,0,0.61,0,0,0,0,0,0,0,0.09,0,0,0,0.42,0,0,0,0.08,0,0,0,0,0,0,0,0
97,68.1,0,1.47,3.71,5.34,0,0,7.24,6.35,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,77.43,0,2.61,0,0,5.13,0.46,8.5,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,75.06,0,1.58,0,0,0,0,5.2,7.7,0,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,80.8,17.88,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,76,12.01,3.78,0,1.15,0.42,0,3.63,2.39,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.5,74.82,0.91,3.11,0,0,1.24,6.36,9.2,1.34,0,0,0,0,0,0,0,0,0,0,1.83,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,65.37,0,0,0,0,0,0,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,28.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,75.3,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,7.71,0,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,65.43,1.85,10.75,6.4,0,0,0,13.52,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,5.81,18.49,0,0,0,1.97,0,0,0,0,0,0,0,1.06,0,0,0,0,22.32,0,0,49.88,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,62.87,16.61,7.56,0,0,12.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.5,0,75,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,73.09,2.37,0.96,0.15,5.89,0,0,15.89,0.52,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,73.66,0,1.19,0,10.81,0,0,13.7,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,63.54,0.93,4.44,0,19.62,1.69,0,3.13,1.37,0,0,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,49.03,7.02,13.92,8.08,3.63,0,0,8.76,3.03,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,2.21,0,0,0.83,0,0,0,0,0,0,0,0,0
32,78.49,14.26,1.22,0,0.22,0,0,5.41,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.5,76.11,10.18,4.17,0,0.57,0.92,0,6.55,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,76.96,9.48,4.27,0,0.91,0.88,0,6.62,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,72.12,12.65,0,0,0,0.46,0,8.71,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,74.16,9.38,0,0,0,1.18,0,9.18,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,79.14,2.7,0,0,0,2.81,0,6.3,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,63.23,4.8,0.78,0,0,15.06,0,1.29,6.34,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,72.11,3.13,0,0,0,9.01,0,3.52,7.72,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,57.53,7.08,2.12,0,0,23.79,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0.19,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,54.83,18.22,4.17,0,0,22.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,45.15,19.49,0.89,0,1.61,28.84,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.23,0,0,0.09,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0
88,65.58,10.03,1.9,0,0,14.67,0,1.88,4.12,0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,50.87,8.51,0.78,0,8.56,15.71,0,1.94,6.46,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0.69,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0,0,0,0,0,0
106,73.57,2.58,0,0,2.56,0,0,6.96,9.16,0,0,0,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,74.55,0,1.12,0,0,0,0,17.22,0,0,0,0,0,0,0,0,0,0,2.89,0,0,3.88,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,76.18,0,0,0,0,0,0,3.38,7.02,0,0,0,0,0,0,0,0,0,0,0,0,13.08,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,70.63,0,0,0,0,0,0,5.39,4.93,0,0,0,0,0,0,0,0,0,0,0,0,18.77,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,67.82,1.01,0,0,0,0.98,0,2.11,5.01,0,0,0,0,0,0,0,0,0,0,0,0,22.85,0,0,0,0,0.15,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,56.85,0,2.87,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,33.18,0,0,0,0,0.3,0,0,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0
106,41.64,0,0,0,2.79,6.12,0,12.61,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.36,0,0,1.27,0,0,0,0,0,2.06,0,0,0
88,63.48,1.17,0.8,0,0,13.16,0,2.5,4.86,0,0,0,0,0,0,0,0,0,11.04,0,0,2.78,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,65.2,1.24,0,0,0,8.87,0,0.7,6.67,0,0,0,0,0,0,0,0,0,8.46,0,0,8.68,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,67.33,1.2,0,0,0,11.13,0,0.67,5.57,0,0,0,0,0,0,0,0,0,8.59,0,0,5.3,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,45.82,11.78,0.26,0,6.35,24,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,1.83,0,0,0,0,0.13,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0
86,45.16,11.92,0.53,0,6.05,25.38,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,1.16,0,0,0,0,0.18,0,0,0.12,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0
83,51.52,5.73,0.44,0,8.86,14.93,0,1.57,1.79,0,0,0,0,0,0,0,0,0,5.01,0,0,7.15,0,0,0,0,0.13,0,0,0.09,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0
82,37.33,14.24,1.77,0,11.25,19.86,0,0.44,0,0,0,0,0,0,0,0,0,0,3.76,0,0,4.44,0,0,0,0,0.14,0,0,0.12,0,0,0,6.65,0,0,0,0,0,0,0,0,0,0,0,0
81,40.18,15.43,1.5,0,0,19.55,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,6.51,0,0,0,0,0.31,0,0,0.14,0,0,0,8.97,0,0,0,0,0,0,0,0,0,0,0,0
86,49.62,0,0,0,0,11.94,7.86,0,0,0,0,0,0,0,0,0,0,0,8.65,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,2.54,0,0,0,0,0,0,0,0,0.34
69,61.47,16.15,2.36,0,0,0,0,0,10.23,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,0.16,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,74.47,8.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6.02,61.22,7.89,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,16.8,0,0,3.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,6.61,10.16,11.42,0,0,0,0,14.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,57.06,0,0,0,0,0
113,0,22.67,0,12.65,6.36,19.93,6.83,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,22.61,0,0,1.04,0,0
72,24.3,42.62,0.91,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,1.54,0,0,0,0,0.19,0,0,0,1.94,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0
71,8.67,56.04,0.46,0,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,9.94,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0
85,0,59.17,0,0,21.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0.1,0,0,0,9.92,0,0,0,0,0,6.55,0,0,0,0,0,0,0,0,0
83,41.73,7.63,0,0,0,12,3.07,0,0,0,0,0,0,0,0,0,0,0,13.83,8.83,0,0,0,0,0,0,0.09,0,0,0,3.88,0,0,5.15,0,0,3.79,0,0,0,0,0,0,0,0,0
78,6.61,53.2,0,0,18.95,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0.1,0,0,0,7.83,0,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0
72,5.51,58.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,1.28,0,0,0,0,0,0,0,6.45,0,0,18.7,0,0,0,0,0,7.1,0,0,0,0,0,0.5,0,0,0
77,11.69,39.59,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,3.11,0,0,23.28,0,0,0,0,0,7.12,0,0,0,0,0,0,7.19,0,5.3
69,0,47.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0,0,17.72,0,0,9.03,0,0,5.86,0,0,0,0,0,9.23,1.63,0,0
121,0,0,0,0,0,53.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.92,0,3.44,0,0,0
118,0,6.31,0,0,0,42.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.12,0,3.42,0,0,0
95,6.92,9.95,0,0,0,37.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,4.17,0,0,0
117,0,0,0,0,0,41.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,0,0,0,48.69,0,3.89,0,0,0
106,0,0,4.44,0,0,45.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.24,0,3.4,0,0,1.3
114,6.97,0,0,0,0,38.81,0,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.91,0,4.24,0,0,0
106,72.65,0,0,0,0,0,0,9.86,6.62,0,0,0,0,0,0,0,0,3.14,7.67,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,65.6,4.25,0,0,0,3.12,0,22.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,65.66,0,0,0,0,6.49,0,1.04,7.34,0,0,0,0,0,0,0,0,0,5.78,0,0,13.46,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,68.68,0,15.57,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,68.48,0,0.48,0.26,6.14,0,0,15.27,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.08,0,0,8.97,0,0,0,0,0,0,0,0,0
37,73.07,4.24,11.22,0,0,8.9,0,1.79,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,58.56,1.74,14.37,12.01,8.63,0.83,0,0.33,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0
33,83.34,11.28,1.39,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,8.82,25.02,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,10.42,16.19,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.48,0,0,33.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.6,16.67,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,40.68,0,0,0,0,0,0,0,0,0,0,0,20.06,0,0,0,0,0,0,0,0,0,0,0,0
58,0,41.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.06,0,0,36.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.9,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,0,56.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,36.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,56.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91.8,0,31.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.22,0,0,49.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,7.27,26.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.44,0,0,52.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.4,4.11,24.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.47,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.6,2.62,20.33,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.25,0,0,54.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92.6,65.72,0,2.74,0,10.92,0,20.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0
105,64.68,0,2.8,0,0,8.42,15.2,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0
114,0,0,6,0,0,14,0,0,16.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,62.04,0,0.51,0,0,0
114,0,0,5.97,4.09,4.07,4.95,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,63.9,0,0,0,0,0
104,0,0,7.98,1.92,0,12.05,3.88,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,57.18,0,0.49,0,0,0
102,0,0,8.02,8.12,0,5.99,0,0,16.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,59.95,0,0.47,0,0,0
25,58,34,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,74.26,9.39,0,0,0,1.18,0,9.2,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,63.34,15.62,8.38,0,0,12.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,71.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,73.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
101,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
110,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,30,0,0,0,0,0
60,52.61,14.47,5.96,0.3,19.59,0,0,5.14,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,35.41,0,0,7.76,50.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0
112,69.19,2.93,1,4.32,8.89,0,0,12.99,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,65.88,5.99,0.95,4.05,8.41,0,0,14.04,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,43.08,21.04,0.63,2.65,5.58,0,0,17.78,0.46,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,13.02,13.06,13.02,0,10.22,0,0,17.61,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.44,0,0,0,0,0
118,68.33,0,0,0,0,0,29.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0
117,66.82,0,0,0,0,0,28.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0,0,0,0,0
110.1,64.16,0,0,0,0,0,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0,0,0,0,0,0,0,0,0
