Abbe Value,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Ga2O3,As2O3,Y2O3,Sb2O3,La2O3,Gd2O3,Bi2O3,TiO2,GeO2,ZrO2,SnO2,TeO2,P2O5,Nb2O5,Ta2O5,WO3,Yb2O3
58.6,68,0,0,0,0,0,0,0,21.4,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.8,84.5,0,0,0,0,0,0,0,5.4,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.5,84.8,0,0,0,0,0,0,0,6.9,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,78.2,0,0,0,0,0,0,0,7.6,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.3,85.2,0,0,0,0,0,0,0,8.7,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.2,71.4,0,0,0,0,0,0,0,9.9,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.4,81.8,0,0,0,0,0,0,0,10.8,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.1,84.8,0,0,0,0,0,0,0,11.6,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.1,80.7,0,0,0,0,0,0,0,14.7,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.8,58.8,0,0,0,0,0,0,0,24,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.3,65,0,0,0,0,0,0,0,26.5,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.29,79.98,0,0,0,0,0,0,19.39,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0
50.99,78.28,0,0,0,0,0,0,18.97,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0
49.04,77.65,0,0,0,0,0,0,18.82,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0
47.48,76.99,0,0,0,0,0,0,18.66,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0
45.82,76.29,0,0,0,0,0,0,18.49,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0
44.67,75.55,0,0,0,0,0,0,18.31,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0
43.11,74.76,0,0,0,0,0,0,18.12,0,0,0,0,0,0,0,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0
34.47,66.67,0,0,0,0,0,0,16.15,0,0,0,0,0,0,0,17.18,0,0,0,0,0,0,0,0,0,0,0,0,0
51.5,80,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
50.4,75,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
49.7,70,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
43.5,80,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
43.8,75,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
43.7,70,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
43.5,65,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
43.2,60,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
42.6,55,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
36.4,75,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
37.8,70,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
38.2,65,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
38.5,60,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
38.6,55,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
38.2,50,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
37.1,45,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
36.4,60,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
31.4,70,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
32.7,65,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
33.5,60,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
34.1,55,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
34.5,50,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
34.2,45,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
33.3,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
29,60,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
29.7,55,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
30.6,50,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
30.9,45,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
30.8,40,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
26,55,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
26.7,50,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
27.6,45,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
28.1,40,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
28.2,35,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
25.1,40,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
25.7,35,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
26,30,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
49.7,46,0,0,0,0,40,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.8,58,0,0,0,0,36,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.1,54,0,0,0,0,36,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
