Liquidus Temperature ( C ),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Gd2O3,Bi2O3,TiO2,ZrO2,CeO2,SnO2,P2O5,Nb2O5,Ta2O5
900,0,62.6,0,0,0,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,0,60,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936,61.26,0,0,0,8.21,0,0,0,30.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,70.3,0,0,0,6,0,0,0,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,70,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,67,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,60,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,0,66.67,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815,0,80,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
889,0,66.67,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,0,66.67,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1547,42.86,0,14.29,42.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,66.67,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,66.67,0,0,0,0,3.33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,66.66,0,0,0,0,6.67,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,66.67,0,0,0,0,13.33,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970,74.38,0,0,0,0,10,0,7.77,5.09,0,0,0,0.01,0,0,0,0,0,0,0.27,2.36,0.12,0,0,0,0
1011,67.16,0,0.36,3.62,0,9.06,0,7.04,5.43,3.86,0,0,0.01,0.11,0,0,0,0,0,0.18,2.96,0.21,0,0,0,0
928,69.31,0,0.14,0,1.97,10.09,1.23,7.69,5.31,0,0,0,0.01,0,0,0,0,0,0,0.46,3.58,0.21,0,0,0,0
